time,logger,level,database,message,exception
2013-05-27 10:25:25.4668,Raven.Database.DocumentDatabase,Debug,<system>,Put document DetectFaceInfos/65 with etag 00000001-0000-0400-0000-000000000002,
2013-05-27 10:25:25.4668,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 2 because: PUT DetectFaceInfos/65,
2013-05-27 10:25:25.4668,Raven.Database.DocumentDatabase,Debug,<system>,Successfully executed 1 commands in 00:00:00.0132465,
2013-05-27 10:25:25.4668,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:25:25.4738,Raven.Database.Server.HttpServer,Debug,,Request #   4: POST    -    41 ms - <system>   - 200 - /bulk_docs,
2013-05-27 10:25:25.4738,Raven.Database.Server.HttpServer,Debug,,"	PUT DetectFaceInfos/65
",
2013-05-27 10:25:25.7859,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 0 documents for Raven/DocumentsByEntityName,
2013-05-27 10:25:25.7859,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 00000001-0000-0400-0000-000000000001 for Raven/DocumentsByEntityName",
2013-05-27 10:25:25.8329,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 3 because: WORK BY IndexingExecuter,
2013-05-27 10:25:25.8329,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0400-0000-000000000001: (DetectFaceInfos/65),
2013-05-27 10:25:25.8329,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:25:25.8329,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After read triggers executed, 1 documents remained",
2013-05-27 10:25:25.8329,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0400-0000-000000000001: (DetectFaceInfos/65)",
2013-05-27 10:25:25.8329,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (DetectFaceInfos/65),
