time,logger,level,database,message,exception
2013-05-24 16:33:10.4362,Raven.Database.Impl.DocumentCacher,Info,<system>,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3205496832
  PollingInterval     = 00:02:00",
2013-05-24 16:33:10.5042,Raven.Storage.Esent.TransactionalStorage,Info,<system>,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2013-05-24 16:33:13.7944,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Backup/Status' was not found,
2013-05-24 16:33:13.8684,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-05-24 16:33:13.8684,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-05-24 16:33:13.8754,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Authorization/WindowsSettings' was not found,
2013-05-24 16:33:34.1745,Raven.Database.Server.Abstractions.HttpListenerContextAdpater,Error,,Failed to close response,"System.AggregateException: One or more errors occurred. ---> System.Net.HttpListenerException: An operation was attempted on a nonexistent network connection
   at System.Net.HttpResponseStream.Dispose(Boolean disposing)
   at System.IO.Stream.Close()
   at Raven.Database.Util.Streams.BufferPoolStream.Dispose(Boolean disposing) in c:\Builds\RavenDB-Stable\Raven.Database\Util\Streams\BufferPoolStream.cs:line 144
   at System.IO.Stream.Close()
   at Raven.Database.Impl.ExceptionAggregator.Execute(Action action) in c:\Builds\RavenDB-Stable\Raven.Database\Impl\ExceptionAggregator.cs:line 23
   --- End of inner exception stack trace ---
---> (Inner Exception #0) System.Net.HttpListenerException (0x80004005): An operation was attempted on a nonexistent network connection
   at System.Net.HttpResponseStream.Dispose(Boolean disposing)
   at System.IO.Stream.Close()
   at Raven.Database.Util.Streams.BufferPoolStream.Dispose(Boolean disposing) in c:\Builds\RavenDB-Stable\Raven.Database\Util\Streams\BufferPoolStream.cs:line 144
   at System.IO.Stream.Close()
   at Raven.Database.Impl.ExceptionAggregator.Execute(Action action) in c:\Builds\RavenDB-Stable\Raven.Database\Impl\ExceptionAggregator.cs:line 23<---
"
2013-05-24 16:33:34.1875,Raven.Database.Server.HttpServer,Debug,,Request #   1: GET     -   155 ms - <system>   - 200 - /changes/config?id=1/NSzdL&command=disconnect&noCache=1200006427,
2013-05-24 16:33:36.3227,Raven.Database.Storage.IndexDefinitionStorage,Info,<system>,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2013-05-24 16:33:36.6277,Raven.Database.Indexing.IndexStorage,Debug,<system>,Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName,
2013-05-24 16:33:36.8937,Raven.Database.Indexing.Index.Indexing,Debug,<system>,Creating index for Raven/DocumentsByEntityName,
2013-05-24 16:33:36.9277,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 1 because: PUT INDEX Raven/DocumentsByEntityName,
2013-05-24 16:33:36.9417,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2013-05-24 16:33:36.9517,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2013-05-24 16:33:37.7727,Raven.Database.Server.HttpServer,Debug,,Request #   2: GET     -   110 ms - <system>   - 200 - /docs?pageSize=0&noCache=-1540486345,
2013-05-24 16:33:37.8177,Raven.Database.Server.HttpServer,Debug,<system>,Request #   3: GET     -    22 ms - <system>   - 200 - /changes/events?id=1/AccXO,
2013-05-24 16:33:37.8377,Raven.Database.Server.HttpServer,Debug,,Request #   4: GET     -    36 ms - <system>   - 200 - /license/status?noCache=186194670,
2013-05-24 16:33:37.8377,Raven.Database.Server.HttpServer,Debug,,Request #   5: GET     -    38 ms - <system>   - 200 - /build/version?noCache=-1563309130,
2013-05-24 16:33:37.8377,Raven.Database.Server.HttpServer,Debug,,Request #   6: GET     -    43 ms - <system>   - 200 - /databases?pageSize=1024&noCache=763144291,
2013-05-24 16:33:37.8377,Raven.Database.Server.HttpServer,Debug,,Request #   7: GET     -     0 ms - <system>   - 200 - /changes/config?id=1/AccXO&command=watch-docs&noCache=-287419839,
2013-05-24 16:33:37.8377,Raven.Database.Server.HttpServer,Debug,,Request #   8: GET     -     0 ms - <system>   - 200 - /changes/config?id=1/AccXO&command=watch-indexes&noCache=187855459,
2013-05-24 16:33:37.8557,Raven.Database.Server.HttpServer,Debug,,Request #   9: GET     -     0 ms - <system>   - 200 - /changes/config?id=1/AccXO&command=watch-docs&noCache=-1259809541,
2013-05-24 16:33:37.8888,Raven.Database.Server.HttpServer,Debug,,Request #  10: GET     -    89 ms - <system>   - 200 - /silverlight/ensureStartup?noCache=-1532116906,
2013-05-24 16:33:37.9018,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/StudioConfig' was not found,
2013-05-24 16:33:37.9018,Raven.Database.Server.HttpServer,Debug,,Request #  11: GET     -    13 ms - <system>   - 404 - /docs/Raven/StudioConfig?noCache=1605102344,
2013-05-24 16:33:38.0288,Raven.Database.Server.HttpServer,Debug,,Request #  12: GET     -   228 ms - <system>   - 200 - /stats?noCache=-1436288512,
2013-05-24 16:33:38.3528,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Studio/PriorityColumns' was not found,
2013-05-24 16:33:38.3528,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Studio/Columns/AllDocuments' was not found,
2013-05-24 16:33:38.3528,Raven.Database.Server.HttpServer,Debug,,Request #  13: GET     -     0 ms - <system>   - 404 - /docs/Raven/Studio/PriorityColumns?noCache=-648872427,
2013-05-24 16:33:38.3528,Raven.Database.Server.HttpServer,Debug,,Request #  14: GET     -     0 ms - <system>   - 404 - /docs/Raven/Studio/Columns/AllDocuments?noCache=1279679639,
2013-05-24 16:33:38.4018,Raven.Database.Server.HttpServer,Debug,,Request #  15: GET     -     1 ms - <system>   - 200 - /docs/?start=0&pageSize=30&noCache=551545270,
2013-05-24 16:33:38.4018,Raven.Database.Server.HttpServer,Debug,,Request #  16: GET     -    10 ms - <system>   - 200 - /stats?noCache=-1490959021,
2013-05-24 16:33:45.6822,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Studio/Columns/Default' was not found,
2013-05-24 16:33:45.6822,Raven.Database.Server.HttpServer,Debug,,Request #  17: GET     -     0 ms - <system>   - 404 - /docs/Raven/Studio/Columns/Default?noCache=-1610301713,
2013-05-24 16:33:45.6892,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Studio/PriorityColumns' was not found,
2013-05-24 16:33:45.6892,Raven.Database.Server.HttpServer,Debug,,Request #  18: GET     -     0 ms - <system>   - 404 - /docs/Raven/Studio/PriorityColumns?noCache=23517437,
2013-05-24 16:33:45.7512,Raven.Database.Server.HttpServer,Debug,,Request #  19: GET     -    69 ms - <system>   - 200 - /terms/Raven/DocumentsByEntityName?field=Tag&fromValue=&pageSize=100&noCache=222038844,
2013-05-24 16:33:46.3062,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Studio/PriorityColumns' was not found,
2013-05-24 16:33:46.3062,Raven.Database.Server.HttpServer,Debug,,Request #  20: GET     -     0 ms - <system>   - 404 - /docs/Raven/Studio/PriorityColumns?noCache=-236847752,
2013-05-24 16:33:46.3142,Raven.Database.Server.HttpServer,Debug,,Request #  21: GET     -     0 ms - <system>   - 200 - /docs/?start=0&pageSize=30&noCache=-210856293,
2013-05-24 16:33:46.3142,Raven.Database.Server.HttpServer,Debug,,Request #  22: GET     -     8 ms - <system>   - 200 - /stats?noCache=-1960536224,
time,logger,level,database,message,exception
2013-05-24 16:39:14.3190,Raven.Database.Impl.DocumentCacher,Info,<system>,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3205496832
  PollingInterval     = 00:02:00",
2013-05-24 16:39:14.3840,Raven.Storage.Esent.TransactionalStorage,Info,<system>,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2013-05-24 16:39:17.2802,Raven.Database.Storage.IndexDefinitionStorage,Info,<system>,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2013-05-24 16:39:17.3282,Raven.Database.Indexing.IndexStorage.Startup,Debug,<system>,Loading saved index Raven/DocumentsByEntityName,
2013-05-24 16:39:17.3842,Raven.Database.Indexing.Index.Indexing,Debug,<system>,Creating index for Raven/DocumentsByEntityName,
2013-05-24 16:39:18.8313,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Backup/Status' was not found,
2013-05-24 16:39:18.8983,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-05-24 16:39:18.9053,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Authorization/WindowsSettings' was not found,
2013-05-24 16:39:18.9053,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-05-24 16:39:24.2946,Raven.Database.Server.HttpServer,Debug,,Request #   1: GET     -   309 ms - <system>   - 200 - /databases?pageSize=1024&noCache=-1961307109,
2013-05-24 16:43:54.5070,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Alerts' was not found,
2013-05-24 16:43:54.5070,Raven.Database.Server.HttpServer,Debug,,Request #   2: GET     -    25 ms - <system>   - 404 - /docs/Raven/Alerts?noCache=-1552973856,
2013-05-24 16:43:57.9222,Raven.Database.Server.HttpServer,Debug,,Request #   3: GET     -    54 ms - <system>   - 200 - /indexes/?namesOnly=true&start=0&pageSize=256&noCache=1262634008,
2013-05-24 16:43:59.2713,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Studio/PriorityColumns' was not found,
2013-05-24 16:43:59.2713,Raven.Database.Server.HttpServer,Debug,,Request #   4: GET     -     0 ms - <system>   - 404 - /docs/Raven/Studio/PriorityColumns?noCache=320355448,
2013-05-24 16:43:59.3773,Raven.Database.Server.HttpServer,Debug,,Request #   5: GET     -   108 ms - <system>   - 200 - /terms/Raven/DocumentsByEntityName?field=Tag&fromValue=&pageSize=100&noCache=986481663,
2013-05-24 16:43:59.9173,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Studio/PriorityColumns' was not found,
2013-05-24 16:43:59.9173,Raven.Database.Server.HttpServer,Debug,,Request #   6: GET     -     0 ms - <system>   - 404 - /docs/Raven/Studio/PriorityColumns?noCache=-1959868769,
